# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 10K of event 'cpu/mem-loads/pp'
# Total weight : 96938
# Sort order   : (null)
#
# Overhead       Samples  Local Weight             Memory access                  Symbol      Shared Object             Data Symbol             Data Object         Snoop              TLB access  Locked
# ........  ............  ............  ........................  ......................  .................  ......................  ......................  ............  ......................  ......
#
     0.01%             1  8             L1 hit                    [.] 0x0000000000000823  a.out              [.] 0x00007f2f5095e0c8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f509f21f0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x00000000000008b5  a.out              [.] 0x00007f2f50a1da08  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50a27648  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50a3b7c8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f50abb220  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f50b58430  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f50b717e0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f50b99168  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50c44ce8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50c94b08  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50cb48e8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x0000000000000823  a.out              [.] 0x00007f2f50ce5fa8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x0000000000000948  a.out              [.] 0x00007f2f50cfb7f8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50dc89f0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f50deb9b0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50e7f3d0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50eb7ef0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50ed1040  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x0000000000000823  a.out              [.] 0x00007f2f50eecfa0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50ef6780  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50f01828  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50f0a060  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50f0cbb0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50f2b078  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f50f2f5c8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50f7b878  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f50fb6678  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51056fc8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51069370  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51083538  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f510b55e8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x00000000000008e4  a.out              [.] 0x00007f2f510c9f20  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f510e3ae8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51143130  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51146a58  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5116f7e0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5120cca8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5125f2d8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5127a590  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5128f018  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f512a6798  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f512a7b80  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f512cd058  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f513180d0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5132a2b8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51334108  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f513600b8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f514120a8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5141a808  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51437c88  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51486eb8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51520d10  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51541188  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5157f128  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f515b0070  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f515bbae8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f515dbd68  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51656488  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5165f688  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51697c50  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f516ab540  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f516b2528  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f516e3f58  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f517191c0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51730e28  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5179b880  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f518471c0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5184eb98  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51890808  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f518a7a40  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f519026b0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5193a928  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f519454c0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51965f70  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5197a3a8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51984488  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f519afef8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f519f6210  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51a03570  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51a38030  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51a7edf8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51abbd00  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51abfeb8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51b06908  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51b27d30  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51b44b78  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51b6a2e8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51bdd688  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51c10808  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51ca8f18  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51caae28  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51cf3540  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51cf6618  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51d02fc8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51d09f40  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51d2bc50  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51d6f260  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51d86130  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f51da2cb0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51e126f0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51eaa1e0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51eac3f0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x0000000000000823  a.out              [.] 0x00007f2f51ebe4e0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x0000000000000823  a.out              [.] 0x00007f2f51ee7250  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51ef4df0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51ef8840  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51f31e90  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f51f92750  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x0000000000000823  a.out              [.] 0x00007f2f51ffc428  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5201a9c8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52054e28  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f520df5f0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f520eac10  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f520ee1b0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f521182f0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5214b138  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f521885f0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f521aa4e0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f521c4e88  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5221ef30  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5222ae38  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5222e108  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5223c9b0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52255880  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52257a60  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5226b1e0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5227b190  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5236ee60  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f523efe08  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52449d00  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52453b28  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5247f290  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f524ddb50  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f525578a0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52567488  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f525eb7a8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52604580  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52639cd0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f526734c8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5267dce0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f526a4778  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f527c62e8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x00000000000008e4  a.out              [.] 0x00007f2f52817bf0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52875f70  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5289c980  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f528cbe90  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f528ea118  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5290c490  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52932958  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f529b9018  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f529c1ac0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f529c4b68  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f529cae38  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f529e6c20  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52a35298  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52a4b328  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52a580d8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52ac20a8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52ae0ed8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52aec178  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52baea90  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52bb30e0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52bf3550  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52c118e0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52c1b810  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52c5aef0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52cb1698  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52cbfd20  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52d7dbb0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52d9ebd8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x0000000000000823  a.out              [.] 0x00007f2f52de9c88  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52e02b48  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52e24f10  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52e95ed8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52ea6ca8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52ebdc18  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f52eea6b8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52f06e38  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52f5ba10  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52f631a8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52fa99c0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f52ffd060  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f53047c60  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f530ad740  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5313bda0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5314a5a0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f531d2838  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f53224618  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5323e678  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f532c1c70  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f532e4870  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f53319e90  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000088e  a.out              [.] 0x00007f2f5334b6f8  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f53394a88  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f533e0ff0  anon                    None          L1 or L2 hit            No    
     0.01%             1  8             L1 hit                    [.] 0x000000000000085f  a.out              [.] 0x00007f2f5349f4e0  anon                    None          L1 or L2 hit            No    
