# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 10K of event 'cpu/mem-loads/pp'
# Total weight : 96938
# Sort order   : (null)
#
# Overhead       Samples  Local Weight             Memory access                  Symbol      Shared Object             Data Symbol             Data Object         Snoop              TLB access  Locked
# ........  ............  ............  ........................  ......................  .................  ......................  ......................  ............  ......................  ......
#
     0.12%            17  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14338  [stack]                 None          L1 or L2 hit            No    
     0.12%            17  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14390  [stack]                 None          L1 or L2 hit            No    
     0.12%            17  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e143d0  [stack]                 None          L1 or L2 hit            No    
     0.12%            17  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e144b8  [stack]                 None          L1 or L2 hit            No    
     0.12%             5  23            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14608  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e13f90  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e13fb8  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14010  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14078  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e140c8  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e140f4  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14178  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14210  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e142b4  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e142f8  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14310  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14310  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e143b8  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14410  [stack]                 None          L1 or L2 hit            No    
